url,title,abstract,pdf,clean_text
https://join.if.uinsgd.ac.id/index.php/join/article/view/1252,levels of iot architecture for smart irrigation rice fields,"water is one of the main components in the agricultural sector. traditional irrigation systems are often inefficient and ineffective, which can lead to water wastage and require huge resources. intelligent irrigation systems based on the internet of things iot offer a solution to overcome these problems. the purpose of this research is to create a layer iot architecture for smart irrigation in gadon village. the method used in this research uses research and development methods, starting from literature study, field survey, design, assembly, and testing. design of internet of things iot architecture using esp8266 for irrigation of rice fields in gadon village dlingo, bantul. the design of this system aims to facilitate irrigation. this system utilizes iot technology in its implementation. this system consists of four iot layers, namely the smart things layer which consists of a water level sensor, water ph sensor, with control using esp8266. networks and gateways layer, which consists of a router to connect smart things with the internet, middleware layer, and application layer which consists of an android application for the system interface. this system contributes directly to the form of convenience for farmers to manage irrigation of rice fields using esp8266 based iot applications. in addition, this system also provides water level information to facilitate farmers in the irrigation process.",,"levels of iot architecture for smart irrigation rice fields. water is one of the main components in the agricultural sector. traditional irrigation systems are often inefficient and ineffective, which can lead to water wastage and require huge resources. intelligent irrigation systems based on the internet of things iot offer a solution to overcome these problems. the purpose of this research is to create a layer iot architecture for smart irrigation in gadon village. the method used in this research uses research and development methods, starting from literature study, field survey, design, assembly, and testing. design of internet of things iot architecture using esp8266 for irrigation of rice fields in gadon village dlingo, bantul. the design of this system aims to facilitate irrigation. this system utilizes iot technology in its implementation. this system consists of four iot layers, namely the smart things layer which consists of a water level sensor, water ph sensor, with control using esp8266. networks and gateways layer, which consists of a router to connect smart things with the internet, middleware layer, and application layer which consists of an android application for the system interface. this system contributes directly to the form of convenience for farmers to manage irrigation of rice fields using esp8266 based iot applications. in addition, this system also provides water level information to facilitate farmers in the irrigation process."
https://join.if.uinsgd.ac.id/index.php/join/article/view/1557,performance evaluation of nas parallel and high performance conjugate gradient benchmarks in mahameru,"high performance computing hpc plays a crucial role in accelerating scientific advancement across numerous fields of research and in effectively implementing various complex scientific applications. mahameru is one of the largest national hpc systems in indonesia and has been utilized by many sectors. however, it has not undergone proper benchmarking evaluation, which is vital for identifying issues related to hardware and software configurations and confirming system reliability. therefore, this study aims to evaluate the performance, efficiency, and capabilities of mahameru. we present a benchmarking system on mahameru utilizing two benchmark suites the nas parallel benchmarks npb and the high performance conjugate gradient hpcg benchmark. our results indicate that the npb exhibits a lower speedup in message passing interface mpi compared to openmp, which can be attributed to the communication overhead and the nature of the computational tasks. additionally, the hpcg benchmark demonstrates that mahameru performance can compete with the lower tiers of the top supercomputers. when operating at full capacity, mahameru can achieve approximately . of its theoretical peak performance. while the system generally performs reliably with parallel algorithms, it may not fully leverage hyperthreading with certain algorithms. this benchmark result can serve as a basis for decision making regarding potential upgrades or changes to a system.",,"performance evaluation of nas parallel and high performance conjugate gradient benchmarks in mahameru. high performance computing hpc plays a crucial role in accelerating scientific advancement across numerous fields of research and in effectively implementing various complex scientific applications. mahameru is one of the largest national hpc systems in indonesia and has been utilized by many sectors. however, it has not undergone proper benchmarking evaluation, which is vital for identifying issues related to hardware and software configurations and confirming system reliability. therefore, this study aims to evaluate the performance, efficiency, and capabilities of mahameru. we present a benchmarking system on mahameru utilizing two benchmark suites the nas parallel benchmarks npb and the high performance conjugate gradient hpcg benchmark. our results indicate that the npb exhibits a lower speedup in message passing interface mpi compared to openmp, which can be attributed to the communication overhead and the nature of the computational tasks. additionally, the hpcg benchmark demonstrates that mahameru performance can compete with the lower tiers of the top supercomputers. when operating at full capacity, mahameru can achieve approximately . of its theoretical peak performance. while the system generally performs reliably with parallel algorithms, it may not fully leverage hyperthreading with certain algorithms. this benchmark result can serve as a basis for decision making regarding potential upgrades or changes to a system."
https://join.if.uinsgd.ac.id/index.php/join/article/view/1499,comparative analysis of indobert and lstm for multi label text classification of indonesian motivation letter,"the evaluation of motivation letters is a crucial step in the student admission process for one of vocational institutions in indonesia. however, the current manual assessment method is prone to subjectivity and inconsistency, making it less reliable for fair student selection. this research presents a comparative analysis of two deep learning models, indobert and long short term memory lstm , for multi label text classification of motivation letters written in indonesian. using a dataset of motivation letters labeled with nine predefined categories, we evaluate the models based on their classification performance. the results indicate that indobert outperforms lstm, achieving an f1 score of , compared to for lstm. this research provides insights into the effectiveness of indobert for multi label classification tasks in the indonesian language and serves as a benchmark for future research in automating motivation letter evaluations.",,"comparative analysis of indobert and lstm for multi label text classification of indonesian motivation letter. the evaluation of motivation letters is a crucial step in the student admission process for one of vocational institutions in indonesia. however, the current manual assessment method is prone to subjectivity and inconsistency, making it less reliable for fair student selection. this research presents a comparative analysis of two deep learning models, indobert and long short term memory lstm , for multi label text classification of motivation letters written in indonesian. using a dataset of motivation letters labeled with nine predefined categories, we evaluate the models based on their classification performance. the results indicate that indobert outperforms lstm, achieving an f1 score of , compared to for lstm. this research provides insights into the effectiveness of indobert for multi label classification tasks in the indonesian language and serves as a benchmark for future research in automating motivation letter evaluations."
https://join.if.uinsgd.ac.id/index.php/join/article/view/1590,optimizing machine learning models for graduation on time prediction a comparative study with resampling and hyperparameter tuning,"timely graduation prediction is a crucial issue in higher education, especially when academic, demographic, and behavioral factors interact in complex ways. however, many previous studies rely on default machine learning ml parameters and fail to consider the class imbalance problem, leading to suboptimal predictions. this study aims to build a comprehensive framework to evaluate the effectiveness of seven ml algorithms, which are adaboost, k nearest neighbors, nave bayes, neural network, random forest, svm rbf, and xgboost, for predicting graduation on time by incorporating five resampling techniques and hyperparameter tuning. resampling methods include random undersampling rus , random oversampling ros , smotenc, and two hybrid approaches rus ros and smotenc rus . hyperparameter tuning was conducted using grid search, and model performance was evaluated through cross validation and hold out methods. the results show that random forest combined with rus ros achieved the best performance, with an average metric score of . . statistical analysis using permanova p . and bonferroni s post hoc pairwise tests confirmed significant differences between certain models. this study contributes to the educational data mining literature by demonstrating that combining resampling and hyperparameter tuning improves classification performance in imbalanced educational datasets.",,"optimizing machine learning models for graduation on time prediction a comparative study with resampling and hyperparameter tuning. timely graduation prediction is a crucial issue in higher education, especially when academic, demographic, and behavioral factors interact in complex ways. however, many previous studies rely on default machine learning ml parameters and fail to consider the class imbalance problem, leading to suboptimal predictions. this study aims to build a comprehensive framework to evaluate the effectiveness of seven ml algorithms, which are adaboost, k nearest neighbors, nave bayes, neural network, random forest, svm rbf, and xgboost, for predicting graduation on time by incorporating five resampling techniques and hyperparameter tuning. resampling methods include random undersampling rus , random oversampling ros , smotenc, and two hybrid approaches rus ros and smotenc rus . hyperparameter tuning was conducted using grid search, and model performance was evaluated through cross validation and hold out methods. the results show that random forest combined with rus ros achieved the best performance, with an average metric score of . . statistical analysis using permanova p . and bonferroni s post hoc pairwise tests confirmed significant differences between certain models. this study contributes to the educational data mining literature by demonstrating that combining resampling and hyperparameter tuning improves classification performance in imbalanced educational datasets."
https://join.if.uinsgd.ac.id/index.php/join/article/view/1612,land cover classification in mountainous regions using multi scale fusion and convolutional neural networks a case study on mount slamet,"mount slamet, located in central java, indonesia, is a high risk volcanic region where accurate land cover classification is essential for disaster mitigation and sustainable land management. however, satellite imagery in this area often suffers from haze and cloud cover, posing challenges to reliable classification. this study aims to develop an effective land cover classification model using sentinel imagery by addressing these visual distortions. the specific goal is to classify land cover into five classesforest, settlements, summit, ricefield, and riverusing enhanced satellite images. a total of labeled images were processed through dehazing with multi scale fusion msf and smoothing using a guided filter to improve image quality. the classification was performed using three convolutional neural network cnn architectures vgg , mobilenetv2, and densenet121. the main contribution of this study is the integration of a tailored preprocessing pipeline with cnn based modeling for haze affected mountainous satellite imagery. among the models tested, mobilenetv2 achieved the highest accuracy of . , outperforming densenet121 . and vgg . . the results demonstrate the effectiveness of combining image enhancement techniques with lightweight cnn architectures for land cover classification in challenging environments with limited and imbalanced dataset.",,"land cover classification in mountainous regions using multi scale fusion and convolutional neural networks a case study on mount slamet. mount slamet, located in central java, indonesia, is a high risk volcanic region where accurate land cover classification is essential for disaster mitigation and sustainable land management. however, satellite imagery in this area often suffers from haze and cloud cover, posing challenges to reliable classification. this study aims to develop an effective land cover classification model using sentinel imagery by addressing these visual distortions. the specific goal is to classify land cover into five classesforest, settlements, summit, ricefield, and riverusing enhanced satellite images. a total of labeled images were processed through dehazing with multi scale fusion msf and smoothing using a guided filter to improve image quality. the classification was performed using three convolutional neural network cnn architectures vgg , mobilenetv2, and densenet121. the main contribution of this study is the integration of a tailored preprocessing pipeline with cnn based modeling for haze affected mountainous satellite imagery. among the models tested, mobilenetv2 achieved the highest accuracy of . , outperforming densenet121 . and vgg . . the results demonstrate the effectiveness of combining image enhancement techniques with lightweight cnn architectures for land cover classification in challenging environments with limited and imbalanced dataset."
https://join.if.uinsgd.ac.id/index.php/join/article/view/1568,performance evaluation of vehicular ad hoc networks considering malicious node impact on quality of services metrics,"vehicular ad hoc networks vanets , a subset of mobile ad hoc networks manets , is essential for enabling communication between vehicles in intelligent transportation systems. however, their dynamic and decentralized nature exposes them to significant security threats, particularly from malicious nodes. attacks such as black holes and wormholes can severely degrade network performance by causing packet loss and increasing end to end delays. this paper aims to evaluate the impact of malicious node behavior on vanet performance using key quality of service qos parameters, including throughput, end to end delay, jitter, packet delivery ratio pdr , and packet loss ratio plr . the specific objective is to analyze how black hole and wormhole attacks affect communication efficiency in vanet environments. the main contribution of this work lies in the integration of simulation of urban mobility sumo for realistic traffic scenario generation with network simulator ns for detailed network performance evaluation. this approach enables comprehensive simulation of vanet behavior under attack conditions. the findings provide valuable insights into the vulnerabilities of vanets and form a basis for the design of more robust and secure vehicular communication systems.",,"performance evaluation of vehicular ad hoc networks considering malicious node impact on quality of services metrics. vehicular ad hoc networks vanets , a subset of mobile ad hoc networks manets , is essential for enabling communication between vehicles in intelligent transportation systems. however, their dynamic and decentralized nature exposes them to significant security threats, particularly from malicious nodes. attacks such as black holes and wormholes can severely degrade network performance by causing packet loss and increasing end to end delays. this paper aims to evaluate the impact of malicious node behavior on vanet performance using key quality of service qos parameters, including throughput, end to end delay, jitter, packet delivery ratio pdr , and packet loss ratio plr . the specific objective is to analyze how black hole and wormhole attacks affect communication efficiency in vanet environments. the main contribution of this work lies in the integration of simulation of urban mobility sumo for realistic traffic scenario generation with network simulator ns for detailed network performance evaluation. this approach enables comprehensive simulation of vanet behavior under attack conditions. the findings provide valuable insights into the vulnerabilities of vanets and form a basis for the design of more robust and secure vehicular communication systems."
https://join.if.uinsgd.ac.id/index.php/join/article/view/1606,a comparison analysis between resnet50 and xception for handwritten hangeul character using transfer learning,"the enthusiasm for korean pop culture in indonesia has contributed to a growing interest in learning the korean language, including its writing system, hangeul, which currently ranks as the 6th most studied language. hangeul has a unique structure, where each character is arranged in syllabic blocks of consonants and vowel combinations. the main challenge in korean character classification lies in the similarity between characters and the complex structure, making it more difficult for models to recognize. this study aims to compare two deep convolutional neural networks are resnet50 and xception, using transfer learning for handwritten hangeul character classification. while previous studies have examined cnn based character recognition, this study highlights the effectiveness of deeper architectures with limited yet augmented data. unlike earlier works, it incorporates grad cam visualizations, transfer learning with partial fine tuning, and multiple train test ratios to analyze model behavior. a total of , images across classes were evaluated using fold cross validation, with extensive augmentation and preprocessing to simulate variation. the machine learning life cycle mllc framework assessed model performance through accuracy, precision, recall, f1 score, and auc. both models achieved high performance, with resnet50 consistently outperforming xception in most folds, especially in precision and f1 score. resnet50 achieved perfect scores across all metrics, while xception also performed strongly with up to . accuracy. these results indicate that resnet50 is more effective in classifying korean letters on the dataset used in this study. for future research, a robustness evaluation can be applied using data that was not included in previous training or testing.",,"a comparison analysis between resnet50 and xception for handwritten hangeul character using transfer learning. the enthusiasm for korean pop culture in indonesia has contributed to a growing interest in learning the korean language, including its writing system, hangeul, which currently ranks as the 6th most studied language. hangeul has a unique structure, where each character is arranged in syllabic blocks of consonants and vowel combinations. the main challenge in korean character classification lies in the similarity between characters and the complex structure, making it more difficult for models to recognize. this study aims to compare two deep convolutional neural networks are resnet50 and xception, using transfer learning for handwritten hangeul character classification. while previous studies have examined cnn based character recognition, this study highlights the effectiveness of deeper architectures with limited yet augmented data. unlike earlier works, it incorporates grad cam visualizations, transfer learning with partial fine tuning, and multiple train test ratios to analyze model behavior. a total of , images across classes were evaluated using fold cross validation, with extensive augmentation and preprocessing to simulate variation. the machine learning life cycle mllc framework assessed model performance through accuracy, precision, recall, f1 score, and auc. both models achieved high performance, with resnet50 consistently outperforming xception in most folds, especially in precision and f1 score. resnet50 achieved perfect scores across all metrics, while xception also performed strongly with up to . accuracy. these results indicate that resnet50 is more effective in classifying korean letters on the dataset used in this study. for future research, a robustness evaluation can be applied using data that was not included in previous training or testing."
https://join.if.uinsgd.ac.id/index.php/join/article/view/1603,forensic analysis of web scraping documents on carding forums and shops using latent dirichlet allocation,"this research is based on the massive cybercrime activity in carding forums and carding shops. based on the many victims and losses from these activities a cybercrime investigation action is needed by a digital forensic investigator. the purpose of this study is to develop a forensic carding investigation framework based on document analysis of web scraping results on carding forums and carding shops, which applies forensic profiling analysis methods and natural language processing based on the latent dirichlet allocation lda algorithm. the tools used for web scraping in this study are webharvy version . . . . the tools used for data processing in this study are microsoft excel and orange data mining. the conclusion of this study shows that the application of web scraping investigation techniques on carding forums and carding shops based on an carding investigation framework has been effective in collecting relevant data and analyzing the activities of cybercriminal appropriately. overall, this study has succeeded in developing a more organized and data driven approach to dealing with crimes in carding forums and carding shops, which can be a reference for further research and application in the field of digital forensic investigation.",,"forensic analysis of web scraping documents on carding forums and shops using latent dirichlet allocation. this research is based on the massive cybercrime activity in carding forums and carding shops. based on the many victims and losses from these activities a cybercrime investigation action is needed by a digital forensic investigator. the purpose of this study is to develop a forensic carding investigation framework based on document analysis of web scraping results on carding forums and carding shops, which applies forensic profiling analysis methods and natural language processing based on the latent dirichlet allocation lda algorithm. the tools used for web scraping in this study are webharvy version . . . . the tools used for data processing in this study are microsoft excel and orange data mining. the conclusion of this study shows that the application of web scraping investigation techniques on carding forums and carding shops based on an carding investigation framework has been effective in collecting relevant data and analyzing the activities of cybercriminal appropriately. overall, this study has succeeded in developing a more organized and data driven approach to dealing with crimes in carding forums and carding shops, which can be a reference for further research and application in the field of digital forensic investigation."
https://join.if.uinsgd.ac.id/index.php/join/article/view/1170,developing an ai enhanced enterprise architecture model for strategic decision making in malaysias railway industry,"most developing nations, including malaysia, still lack a model for the decision making process that is comprehensive enough to account for a wide variety of potential effects and failures. the implementation of this investigation is crucial for enterprise architecture ea parameters for railway industry ri supplier performance that emphasize strategic decision making processes to help the organizations become more competitive. in response to this need, the research integrates artificial intelligence ai as an enabler within the ea model to support intelligent and data driven decision making. this research has implemented a strategic decision making process in the ri context and conducted it from a developing country perspective. the study identifies several elements of the decision making process faced and experienced by the ri and the potential gaps for further observations in adopting the ea model. as a result, a fresh conceptual model enhanced with ai driven analytics and intelligent decision support was created and assessed. by fulfilling the aims of the study, this research makes important contributions to the ri in terms of the use of ea, aligned with the worldwide standard of the four fundamental ea criteria, and explores the transformative potential of ai integration to accelerate ea adoption. the study s findings will impact both theory and practice, providing a pathway for developing nations to harness ai for strategic advantage and digital maturity.",,"developing an ai enhanced enterprise architecture model for strategic decision making in malaysias railway industry. most developing nations, including malaysia, still lack a model for the decision making process that is comprehensive enough to account for a wide variety of potential effects and failures. the implementation of this investigation is crucial for enterprise architecture ea parameters for railway industry ri supplier performance that emphasize strategic decision making processes to help the organizations become more competitive. in response to this need, the research integrates artificial intelligence ai as an enabler within the ea model to support intelligent and data driven decision making. this research has implemented a strategic decision making process in the ri context and conducted it from a developing country perspective. the study identifies several elements of the decision making process faced and experienced by the ri and the potential gaps for further observations in adopting the ea model. as a result, a fresh conceptual model enhanced with ai driven analytics and intelligent decision support was created and assessed. by fulfilling the aims of the study, this research makes important contributions to the ri in terms of the use of ea, aligned with the worldwide standard of the four fundamental ea criteria, and explores the transformative potential of ai integration to accelerate ea adoption. the study s findings will impact both theory and practice, providing a pathway for developing nations to harness ai for strategic advantage and digital maturity."
https://join.if.uinsgd.ac.id/index.php/join/article/view/1631,cyberbullying detection in the libyan dialect using convolutional neural networks,"ecently, the widespread use of social media has increased, leading to increased concerns about cyberbullying. it has become imperative to intensify efforts and methods to detect and manage cyberbullying through social media. arabic has recently received increasing attention to improve the classification of arabic texts. given the multitude of arabic dialects used on social media platforms by arabic speakers to express their opinions and communicate with each other, applying this approach to arabic becomes extremely challenging due to its structural and morphological complexity. analyzing arabic dialects using natural language processing nlp tools can be more challenging than standard arabic. in this paper, the impact of using stopword removal and derivation techniques on detecting cyberbullying in the libyan dialect was presented. the efficiency of text classification was compared when using a libyan dialect word list alongside pre generated modern standard arabic msa lists. the texts were classified using convolutional neural network cnn classifiers, and the experiments showed that when using libyan dialect words, the accuracy results were and , and when using only standard arabic stop words, the accuracy results were dropped to and . based on these results, the higher accuracy was obtained when using the presented stop words list which it is specific to the libyan dialect, and they had a positive impact on the results, better than standard arabic stop words.",,"cyberbullying detection in the libyan dialect using convolutional neural networks. ecently, the widespread use of social media has increased, leading to increased concerns about cyberbullying. it has become imperative to intensify efforts and methods to detect and manage cyberbullying through social media. arabic has recently received increasing attention to improve the classification of arabic texts. given the multitude of arabic dialects used on social media platforms by arabic speakers to express their opinions and communicate with each other, applying this approach to arabic becomes extremely challenging due to its structural and morphological complexity. analyzing arabic dialects using natural language processing nlp tools can be more challenging than standard arabic. in this paper, the impact of using stopword removal and derivation techniques on detecting cyberbullying in the libyan dialect was presented. the efficiency of text classification was compared when using a libyan dialect word list alongside pre generated modern standard arabic msa lists. the texts were classified using convolutional neural network cnn classifiers, and the experiments showed that when using libyan dialect words, the accuracy results were and , and when using only standard arabic stop words, the accuracy results were dropped to and . based on these results, the higher accuracy was obtained when using the presented stop words list which it is specific to the libyan dialect, and they had a positive impact on the results, better than standard arabic stop words."
